GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted,Contributors
anicolson/deepxi,Y,211,333,2301,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/anicolson/DeepXi/graphs/contributors shows that there are multiple contributors but 1 only contribute 1 commit,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/anicolson/DeepXi/issues/29 and https://github.com/anicolson/DeepXi/issues/43",1,https://github.com/anicolson/DeepXi/blob/master/LICENSE.txt is provided.,1,There are files related to testing,8.0,2.0,40.0,31.0,317.0,185.0,185.0,0.0,4.0,266.0,0.0024767801857585,0.0014880952380952,0.0046221400508435,0.0035917043216313,0.010110675214493,0.0090019950367378,0.0090019950367378,0.0,0.0043620501635768,0.005978871656552,21,0.06666666666666667
graknlabs/kglib,Y,275,480,2314,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/graknlabs/kglib/graphs/contributors that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and majority of the functions in https://github.com/graknlabs/kglib/tree/master/kglib/kgcn",1.0,Checking https://github.com/graknlabs/kglib/pulse/monthly there has been 3 commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/graknlabs/kglib/issues/140",1,https://github.com/graknlabs/kglib/blob/master/LICENSE.txt is provided,1,There are few files related to testing.,3.0,0.0,15.0,11.0,30.0,55.0,55.0,0.0,0.0,24.0,0.0009287925696594,0.0,0.0017333025190663,0.0012744757270304,0.00095684623481,0.0026762687947058,0.0026762687947058,0.0,0.0,0.0005394470667565,21,0.3333333333333333
chuyangliu/snake,Y,1151,230,2371,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/chuyangliu/snake/graphs/contributors shows that there are multiple contributors but mainly 1,1,The project uses Travis CI,1,There is a well-maintained documentation,0.0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/chuyangliu/snake/issues/32 and https://github.com/chuyangliu/snake/issues/34",1,https://github.com/chuyangliu/snake/blob/master/LICENSE.md is provided.,1,There are many files related to testing,12.0,1.0,18.0,8.0,265.0,162.0,162.0,2.0,2.0,174.0,0.0037151702786377,0.0007440476190476,0.0020799630228795,0.0009268914378403,0.0084521417408222,0.0078828280862245,0.0078828280862245,0.0010559662090813,0.0021810250817884,0.0039109912339851,21,0.1
cyberzhg/keras-bert,Y,1747,135,2374,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/CyberZHG/keras-bert/graphs/contributors shows that there are multiple contributors but mainly author,1,The project uses Travis CI,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,0,"The author of the project does not reply to issues, almost all issues are closed by bot",1,https://github.com/CyberZHG/keras-bert/blob/master/LICENSE is provided.,1,There are many files related to testing.,22.0,5.0,23.0,23.0,165.0,113.0,113.0,5.0,2.0,211.0,0.0068111455108359,0.003720238095238,0.002657730529235,0.0026648128837909,0.0052626542914553,0.0054985158873047,0.0054985158873047,0.0026399155227032,0.0021810250817884,0.0047426387952348,21,0.2
mycroftai/mycroft-precise,Y,367,280,2375,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/MycroftAI/mycroft-precise/graphs/contributors shows that there are multiple contributors,1,The project uses Jenkins CI,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/MisaOgura/flashtorch/issues/23 and https://github.com/MisaOgura/flashtorch/issues/23",1,https://github.com/MycroftAI/mycroft-precise/blob/dev/LICENSE is provided.,1,There are many files related to testing.,4.0,4.0,20.0,13.0,70.0,67.0,67.0,0.0,6.0,32.0,0.0012383900928792,0.0029761904761904,0.0023110700254217,0.0015061985864905,0.0022326412145568,0.003260181986278,0.003260181986278,0.0,0.0065430752453653,0.0007192627556754,21,0.4
deezer/spleeter,Y,12388,257,2404,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/deezer/spleeter/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and majority of the function in https://github.com/deezer/spleeter/blob/master/spleeter/__main__.py,1.0,Checking https://github.com/deezer/spleeter/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/deezer/spleeter/issues/418 and https://github.com/deezer/spleeter/issues/415",1,https://github.com/deezer/spleeter/blob/master/LICENSE is provided,1,There are many files related to testing.,0.0,0.0,1.0,1.0,5.0,13.0,13.0,0.0,0.0,22.0,0.0,0.0,0.000115553501271,0.00011586142973,0.0001594743724683,0.0006325726242032,0.0006325726242032,0.0,0.0,0.0004944931445268,21,0.4666666666666667
explosion/prodigy-recipes,Y,171,103,2472,The source code of the project exists as ad-hoc scripts,1,https://github.com/explosion/prodigy-recipes/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well maintained README and majority of the function in https://github.com/explosion/prodigy-recipes/blob/master/terms/terms_teach.py,1.0,Checking https://github.com/explosion/prodigy-recipes/pulse/monthly there has been 1 commit activity in the past month.,0,There aren't any open issues,1,https://github.com/explosion/prodigy-recipes/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.0848214285714285,0.0071643170788074,0.0059089329162321,0.0427391318215162,0.0311906963164809,0.0311906963164809,0.0237592397043294,0.0381679389312977,0.01022701730726,18,0.43333333333333335
tensorflow/tcav,Y,374,141,2479,The source code of the project exists as ad-hoc scripts,1,"2 have significantly more commits than others, but 10 contributers",0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,Commit activity not negligible,1,2 open << 31 closed,1,License provided,0,Doesn't seem to have unit test,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.1046439628482972,0.0081845238095238,0.0286572683152299,0.0276908817054802,0.0558479252384141,0.0547418617098924,0.0547418617098924,0.0063357972544878,0.0327153762268266,0.0467745560800179,18,0.5
baldassarrefe/deep-koalarization,Y,349,148,2616,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/baldassarreFe/deep-koalarization/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,0.0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/baldassarreFe/deep-koalarization/issues/4 and https://github.com/baldassarreFe/deep-koalarization/issues/14",1,https://github.com/baldassarreFe/deep-koalarization/blob/master/LICENSE is provided.,1,There are many files related to testing,1.0,0.0,17.0,16.0,55.0,41.0,41.0,0.0,0.0,51.0,0.0003095975232198,0.0,0.0019644095216085,0.0018537828756806,0.0017542180971517,0.0019950367378716,0.0019950367378716,0.0,0.0,0.0011463250168577,21,0.13333333333333333
clementpinard/sfmlearner-pytorch,Y,607,113,2622,The source code of the project exists as ad-hoc scripts,1,https://github.com/ClementPinard/SfmLearner-Pytorch/graphs/contributors shows that there are multiple contributors but mainly author,0,CI is not used on the project.,1,There is a well-maintained documentation,0.0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/ClementPinard/SfmLearner-Pytorch/issues/73 and https://github.com/ClementPinard/SfmLearner-Pytorch/issues/77.",1,https://github.com/ClementPinard/SfmLearner-Pytorch/blob/master/LICENSE is provided.,1,There are many files related to testing.,17.0,0.0,13.0,13.0,40.0,65.0,65.0,2.0,5.0,234.0,0.0052631578947368,0.0,0.0015021955165241,0.0015061985864905,0.0012757949797467,0.003162863121016,0.003162863121016,0.0010559662090813,0.0054525627044711,0.0052596089008766,18,0.2
hunglc007/tensorflow-yolov4-tflite,Y,393,121,2670,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,Multiple contributors: https://github.com/hunglc007/tensorflow-yolov4-tflite/graphs/contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well maintained README, codes are well documented",1.0,"Consistent commits throughout the past month, but hiatus before that",1,"More open issues than closed issues, author does not respond frequently",1,https://github.com/hunglc007/tensorflow-yolov4-tflite/blob/master/LICENSE,0,There is no evidence of any testing done on the project.,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.1046439628482972,0.0081845238095238,0.0286572683152299,0.0276908817054802,0.0558479252384141,0.0547418617098924,0.0547418617098924,0.0063357972544878,0.0327153762268266,0.0467745560800179,21,0.36666666666666664
