GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer
1989ryan/semantic_slam,N,100,117,9443,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0,No evidence of sustained commit activity,0,The author of the project does not reply to issues or close them.,1,https://github.com/1989Ryan/Semantic_SLAM/blob/master/LICENSE is provided.,1,Only 1 file related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaronward/covidify,Y,422,270,1666,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/AaronWard/covidify/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well-maintained documentation,1,There are only 2 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,1,"Only project author respond to issues, as evidenced by https://github.com/AaronWard/covidify/issues/9 and https://github.com/AaronWard/covidify/issues/27.",1,https://github.com/AaronWard/covidify/blob/master/LICENSE is provided.,1,There are 2 files related to testing.,6.0,1.0,0.0,0.0,60.0,44.0,44.0,0.0,0.0,168.0,0.0018575851393188856,0.000744047619047619,0.0,0.0,0.001913692469620132,0.002141015035764683,0.002141015035764683,0.0,0.0,0.0037761294672960214
adlik/adlik,Y,107,150,6325,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/Adlik/Adlik/graphs/contributors shows that there are multiple contributors.,1,The project uses Azure Pipeline for CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/Adlik/Adlik/issues/136 and https://github.com/Adlik/Adlik/issues/108.",1,https://github.com/Adlik/Adlik/blob/master/LICENSE is provided.,1,There are many files related to testing.,52.0,7.0,86.0,86.0,618.0,389.0,389.0,10.0,0.0,237.0,0.016099071207430343,0.005208333333333333,0.009937601109313613,0.009964082956783686,0.01971103243708736,0.01892851929346504,0.01892851929346504,0.005279831045406547,0.0,0.005327039784221173
adobe/antialiased-cnns,N,1120,115,1785,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/adobe/antialiased-cnns/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,0,Do reply to issues last time but not recently,1,https://github.com/adobe/antialiased-cnns/blob/master/LICENSE.md is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advboxes/advbox,N,907,370,10255,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/advboxes/AdvBox/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented but there are tutorials py files,0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/advboxes/AdvBox/issues/43 and https://github.com/advboxes/AdvBox/issues/17",1,https://github.com/advboxes/AdvBox/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afagarap/cnn-svm,N,145,111,557,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0,No evidence of sustained commit activity,0,Issues all raised by author and he do answered others' questions,1,https://github.com/AFAgarap/cnn-svm/blob/master/LICENSE is provided.,0,there is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aicoe/prometheus-anomaly-detector,N,145,135,1441,The source code of the project exists as ad-hoc scripts,1,https://github.com/AICoE/prometheus-anomaly-detector/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0,Not much commits with only 1 commit last month,1,"The project maintainers respond to issues, as evidenced by https://github.com/AICoE/prometheus-anomaly-detector/issues/68 and https://github.com/AICoE/prometheus-anomaly-detector/issues/64.",1,https://github.com/AICoE/prometheus-anomaly-detector/blob/master/LICENSE is provided.,1,There are 2 files related to testing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aimacode/aima-python,Y,4715,1188,27352,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aimacode/aima-python/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/aimacode/aima-python/issues/1181 and https://github.com/aimacode/aima-python/issues/1190",1,https://github.com/aimacode/aima-python/blob/master/LICENSE is provided.,1,There are many files related to testing,63.0,8.0,30.0,6.0,101.0,347.0,347.0,5.0,11.0,888.0,0.0195046439628483,0.005952380952380952,0.0034666050381326557,0.0006951685783802572,0.0032213823238605556,0.016884823122962387,0.016884823122962387,0.0026399155227032735,0.011995637949836423,0.019959541469993257
aiqm/torchani,Y,153,358,4738,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,1,The project uses CI but not sure what is it,0,Most of the functions in the source code are not documented.,1,Evidence of sustained commit activity but not stable,1,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",1,https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,1,There are many files related to testing,16.0,8.0,38.0,34.0,451.0,132.0,132.0,5.0,9.0,356.0,0.004953560371517028,0.005952380952380952,0.004391033048301364,0.003939288610821458,0.01438458839664466,0.006423045107294049,0.006423045107294049,0.0026399155227032735,0.009814612868047983,0.008001798156889188
aisolab/nlp_classification,N,176,383,5626,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aisolab/nlp_classification/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0,No evidence of sustained commit activity,1,"Only 2 issues, 1 open, 1 closed",1,https://github.com/aisolab/nlp_classification/blob/master/LICENSE is provided.,1,1 test file for each project,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.08482142857142856,0.007164317078807488,0.005908932916232186,0.042739131821516285,0.03119069631648095,0.03119069631648095,0.02375923970432946,0.03816793893129771,0.010227017307260057
albumentations-team/albumentations,Y,5406,573,9200,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/albumentations-team/albumentations/graphs/contributors?from=2019-04-22&to=2020-03-12&type=c shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,commit activity decreasing,1,"The project maintainers respond to issues, as evidenced by https://github.com/albumentations-team/albumentations/issues/644 and https://github.com/albumentations-team/albumentations/issues/653 however there are s lot open issues",1,https://github.com/albumentations-team/albumentations/blob/master/LICENSE is provided.,1,There are many files related to testing,19.0,7.0,26.0,25.0,175.0,267.0,267.0,0.0,9.0,361.0,0.0058823529411764705,0.005208333333333333,0.0030043910330483014,0.002896535743251072,0.005581603036392052,0.012992068512481145,0.012992068512481145,0.0,0.009814612868047983,0.008114182962463475
alfredfrancis/ai-chatbot-framework,Y,1340,378,1516,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/alfredfrancis/ai-chatbot-framework/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/alfredfrancis/ai-chatbot-framework/issues/130 and https://github.com/alfredfrancis/ai-chatbot-framework/issues/113 but not recently",1,https://github.com/alfredfrancis/ai-chatbot-framework/blob/master/License.txt is provided.,1,There are files related to testing,16.0,2.0,18.0,15.0,65.0,73.0,73.0,3.0,0.0,92.0,0.004953560371517028,0.001488095238095238,0.0020799630228795934,0.001737921445950643,0.0020731668420884766,0.0035521385820641333,0.0035521385820641333,0.001583949313621964,0.0,0.002067880422566869
alibaba/ai-matrix,N,136,290,107178,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/alibaba/ai-matrix/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project but there's a lot of projects so I may miss out,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/alibaba/ai-matrix/issues/2 and https://github.com/alibaba/ai-matrix/issues/51 but not often as there are more open than closed issues",1,"There are many projects, some of them has license is provided.",1,There are many projects in this git and some of them have test files,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allegroai/trains,Y,1347,640,115412,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,1,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",1,https://github.com/allegroai/trains/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,748.0,62.0,1371.0,1362.0,2206.0,9588.0,9588.0,88.0,725.0,3170.0,0.23157894736842108,0.04613095238095238,0.15842385024266237,0.1578032672923184,0.07036009313303353,0.4665466400661768,0.4665466400661768,0.04646251319957761,0.7906215921483097,0.07125196673409755
allenai/allennlp,Y,8655,2156,40659,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/allenai/allennlp/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/allenai/allennlp/issues/4437",1,https://github.com/allenai/allennlp/blob/master/LICENSE is provided.,1,There are many files related to testing,137.0,21.0,142.0,133.0,683.0,531.0,531.0,3.0,2.0,924.0,0.04241486068111455,0.015625,0.01640859718049457,0.015409570154095702,0.021784199279175836,0.02583815872706924,0.02583815872706924,0.001583949313621964,0.0021810250817884407,0.020768712070128117
allenai/scibert,N,651,253,1237,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/allenai/scibert/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1,Evidence of sustained commit activity,0,Do reply to issues last time but not recently,1,https://github.com/allenai/scibert/blob/master/LICENSE.txt is provided.,1,There are files related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alvinwan/neural-backed-decision-trees,Y,280,702,3383,The source code of the project exists as ad-hoc scripts,1,https://github.com/alvinwan/neural-backed-decision-trees/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,0,The maintainers of the project does not reply to issues or close them.,1,https://github.com/alvinwan/neural-backed-decision-trees/blob/master/LICENSE is provided.,1,There are files related to testing,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.08482142857142856,0.007164317078807488,0.005908932916232186,0.042739131821516285,0.03119069631648095,0.03119069631648095,0.02375923970432946,0.03816793893129771,0.010227017307260057
amaiya/ktrain,Y,418,1315,13599,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/amaiya/ktrain/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/amaiya/ktrain/issues/191 and https://github.com/amaiya/ktrain/issues/185",1,https://github.com/amaiya/ktrain/blob/master/LICENSE is provided.,1,There are many files related to testing,105.0,16.0,70.0,65.0,566.0,555.0,555.0,9.0,99.0,840.0,0.032507739938080496,0.011904761904761904,0.008088745088976196,0.007530992932452787,0.01805249896341658,0.027005985110213616,0.027005985110213616,0.004751847940865892,0.10796074154852782,0.018880647336480108
amansrivastava17/embedding-as-service,N,116,373,9037,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/amansrivastava17/embedding-as-service/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1,Evidence of sustained commit activity,0,Do reply to issues last time but not recently,1,https://github.com/amansrivastava17/embedding-as-service/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amzn/xfer,Y,159,193,10176,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/amzn/xfer/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/amzn/xfer/issues/70 and https://github.com/amzn/xfer/issues/78",1,https://github.com/amzn/xfer/blob/master/LICENSE is provided.,1,There are many projects in this git and some of them have test files,83.0,10.0,96.0,79.0,927.0,587.0,587.0,4.0,33.0,925.0,0.025696594427244583,0.00744047619047619,0.011093136122024498,0.009153052948673386,0.02956654865563104,0.02856308695440611,0.02856308695440611,0.0021119324181626186,0.03598691384950927,0.020791189031242975
analyticalmindsltd/smote_variants,Y,164,236,12264,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author.,1,The project uses Travis and Circle CI,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/analyticalmindsltd/smote_variants/issues/24 and https://github.com/analyticalmindsltd/smote_variants/issues/11 but not often",1,https://github.com/analyticalmindsltd/smote_variants/blob/master/LICENSE is provided.,1,Only 1 test file,41.0,26.0,8.0,5.0,202.0,301.0,301.0,3.0,0.0,1138.0,0.012693498452012385,0.019345238095238096,0.0009244280101687081,0.0005793071486502144,0.006442764647721111,0.014646489221935672,0.014646489221935672,0.001583949313621964,0.0,0.025578781748707573
anicolson/deepxi,Y,211,333,2301,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/anicolson/DeepXi/graphs/contributors shows that there are multiple contributors but 1 only contribute 1 commit,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/anicolson/DeepXi/issues/29 and https://github.com/anicolson/DeepXi/issues/43",1,https://github.com/anicolson/DeepXi/blob/master/LICENSE.txt is provided.,1,There are files related to testing,8.0,2.0,40.0,31.0,317.0,185.0,185.0,0.0,4.0,266.0,0.002476780185758514,0.001488095238095238,0.004622140050843541,0.003591704321631329,0.01011067521449303,0.009001995036737872,0.009001995036737872,0.0,0.004362050163576881,0.005978871656552033
antonmu/trainyourownyolo,Y,191,314,5225,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,1,There is a well-maintained documentation,1,There are only 12 commits in the past month,1,"Only project author respond to issues, as evidenced by https://github.com/AntonMu/TrainYourOwnYOLO/issues/118 and https://github.com/AntonMu/TrainYourOwnYOLO/issues/108.",1,https://github.com/AntonMu/TrainYourOwnYOLO/blob/master/LICENSE is provided.,1,There are many files related to testing.,16.0,10.0,2.0,1.0,116.0,47.0,47.0,1.0,8.0,297.0,0.004953560371517028,0.00744047619047619,0.00023110700254217703,0.00011586142973004287,0.0036998054412655888,0.0022869933336577297,0.0022869933336577297,0.0005279831045406547,0.008724100327153763,0.006675657451112609
apache/beam,Y,4034,27591,141584,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/apache/beam/graphs/contributors shows that there are multiple contributors,1,The project uses CI but not sure what is it,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/apache/beam/pull/12186 and https://github.com/apache/beam/pull/12190",1,https://github.com/apache/beam/blob/master/LICENSE is provided.,1,There are many files related to testing,727.0,847.0,2454.0,2408.0,5888.0,7484.0,7484.0,199.0,248.0,4168.0,0.22507739938080495,0.6302083333333333,0.2835682921192512,0.27899432278994324,0.18779702101872228,0.36416719381052015,0.36416719381052015,0.10506863780359028,0.27044711014176664,0.0936839739267251
apache/submarine,Y,263,375,6152,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/apache/submarine/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"5 open, 5 closed",1,https://github.com/apache/submarine/blob/master/LICENSE-binary and https://github.com/apache/submarine/blob/master/LICENSE-binary are provided.,1,There are many files related to testing,20.0,30.0,47.0,28.0,290.0,401.0,401.0,6.0,32.0,424.0,0.006191950464396285,0.02232142857142857,0.00543101455974116,0.0032441200324412004,0.009249513603163971,0.019512432485037225,0.019512432485037225,0.003167898627243928,0.03489640130861505,0.009530231512699482
apachecn/interview,Y,6115,829,7337,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/apachecn/Interview/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,0,Do reply to issues last time but not recently,1,https://github.com/apachecn/Interview/blob/master/LICENSE is provided.,1,There are files related to testing,9.0,11.0,14.0,12.0,75.0,122.0,122.0,1.0,6.0,530.0,0.0027863777089783283,0.008184523809523808,0.0016177490177952392,0.0013903371567605145,0.0023921155870251652,0.005936450780983893,0.005936450780983893,0.0005279831045406547,0.0065430752453653224,0.011912789390874354
apachecn/pytorch-doc-zh,N,2317,788,41,The source code of the project exists as ad-hoc scripts,1,https://github.com/apachecn/pytorch-doc-zh/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/apachecn/pytorch-doc-zh/issues/497 and https://github.com/apachecn/pytorch-doc-zh/issues/517 but not often and not recently",1,https://github.com/apache/beam/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple/turicreate,Y,9707,1514,250459,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/apple/turicreate/graphs/contributors shows that there are multiple contributors,1,The project uses Travis and Gitlab CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity but decreasing,1,"The project maintainers respond to issues, as evidenced by https://github.com/apple/turicreate/issues/3247 and https://github.com/apple/turicreate/issues/3249",1,https://github.com/apple/turicreate/blob/master/LICENSE.md is provided.,1,There are many files related to testing,2366.0,1295.0,1987.0,1560.0,15826.0,16327.0,16327.0,640.0,603.0,26937.0,0.7325077399380805,0.9635416666666666,0.2296048070256529,0.18074383037886688,0.5047682837368035,0.7944625565665904,0.7944625565665904,0.337909186906019,0.6575790621592149,0.6054619015509103
arita37/mlmodels,Y,128,2563,253130,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/arita37/mlmodels/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,Open issues more than closed,1,https://github.com/arita37/mlmodels/blob/dev/LICENSE is provided.,1,There are many files related to testing,382.0,62.0,436.0,410.0,1883.0,2450.0,2450.0,27.0,289.0,8645.0,0.11826625386996904,0.04613095238095238,0.0503813265541946,0.04750318618931758,0.060058048671578476,0.11921560994598802,0.11921560994598802,0.014255543822597676,0.31515812431842966,0.19431332883794109
arm-software/cmsis_5,Y,1320,2421,10005,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/ARM-software/CMSIS_5/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well-maintained documentation,1,There are only 5 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,1,"The project maintainers respond to issues, as evidenced by https://github.com/ARM-software/CMSIS_5/issues/890 and https://github.com/ARM-software/CMSIS_5/issues/805.",1,https://github.com/ARM-software/CMSIS_5/blob/develop/LICENSE.txt is provided.,1,There are many files related to testing.,0.0,0.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.00023110700254217703,0.00023172285946008574,3.189487449366887e-05,0.00014597829789304655,0.00014597829789304655,0.0,0.0,4.495392222971454e-05
arogozhnikov/einops,Y,833,199,3449,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/arogozhnikov/einops/graphs/contributors shows that there are multiple contributors but mainly 1,1,The project uses Travis CI,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,Open issues more than closed,1,https://github.com/arogozhnikov/einops/blob/master/LICENSE is provided.,1,There are files related to testing,0.0,0.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,4.0,0.0,0.0,0.00011555350127108852,0.00011586142973004287,0.00012757949797467547,0.00024329716315507762,0.00024329716315507762,0.0005279831045406547,0.0,8.990784445942908e-05
arogozhnikov/hep_ml,Y,126,331,3507,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/arogozhnikov/hep_ml/graphs/contributors shows that there are multiple contributors but mainly 1,1,The project uses Travis CI,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,0,Do reply to issues last time but not recently and not often,1,https://github.com/arogozhnikov/hep_ml/blob/master/LICENSE is provided.,1,There are many files related to testing,17.0,5.0,49.0,49.0,109.0,324.0,324.0,6.0,0.0,367.0,0.005263157894736843,0.003720238095238095,0.005662121562283337,0.005677210056772101,0.0034765413198099065,0.01576565617244903,0.01576565617244903,0.003167898627243928,0.0,0.008249044729152617
arviz-devs/arviz,Y,804,966,29227,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/arviz-devs/arviz/graphs/contributors shows that there are multiple contributors,1,The project uses Azure Pipeline CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/arviz-devs/arviz/issues/1262 and https://github.com/arviz-devs/arviz/issues/1270",1,https://github.com/arviz-devs/arviz/blob/master/LICENSE is provided.,1,There are many files related to testing,24.0,8.0,16.0,1.0,233.0,150.0,150.0,6.0,16.0,276.0,0.007430340557275542,0.005952380952380952,0.0018488560203374163,0.00011586142973004287,0.007431505757024846,0.007298914894652328,0.007298914894652328,0.003167898627243928,0.017448200654307525,0.006203641267700607
asappresearch/flambe,Y,208,661,12861,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/asappresearch/flambe/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Evidence of sustained commit activity until recently,0,Do reply to issues last time but not recently and not often,1,https://github.com/asappresearch/flambe/blob/master/LICENSE is provided.,1,There are many files related to testing,16.0,3.0,22.0,19.0,110.0,240.0,240.0,6.0,1.0,226.0,0.004953560371517028,0.002232142857142857,0.002542177027963947,0.0022013671648708146,0.0035084361943035756,0.011678263831443726,0.011678263831443726,0.003167898627243928,0.0010905125408942203,0.005079793211957743
asappresearch/sru,Y,1805,275,3357,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/asappresearch/sru/graphs/contributors shows that there are multiple contributors,1,The project uses Circle CI,0,Most of the functions in the source code are not documented.,0,No evidence of sustained commit activity,1,Open issues more than closed,1,https://github.com/asappresearch/sru/blob/master/LICENSE is provided.,1,There are files related to testing,113.0,3.0,15.0,14.0,200.0,132.0,132.0,5.0,18.0,337.0,0.034984520123839014,0.002232142857142857,0.0017333025190663278,0.0016220600162206002,0.006378974898733774,0.006423045107294049,0.006423045107294049,0.0026399155227032735,0.019629225736095966,0.0075747358957069
as-ideas/transformertts,Y,360,421,4195,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/as-ideas/TransformerTTS/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/as-ideas/TransformerTTS/issues/33 and https://github.com/as-ideas/TransformerTTS/issues/34 but not often",1,https://github.com/as-ideas/TransformerTTS/blob/master/LICENSE is provided.,1,There are files related to testing,54.0,5.0,118.0,116.0,448.0,499.0,499.0,2.0,65.0,860.0,0.01671826625386997,0.003720238095238095,0.013635313149988445,0.013439925848684973,0.014288903773163653,0.024281056882876746,0.024281056882876746,0.0010559662090813093,0.07088331515812432,0.019330186558777253
astooke/rlpyt,Y,1523,639,28684,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/astooke/rlpyt/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Little evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/astooke/rlpyt/issues/162 and https://github.com/astooke/rlpyt/issues/170",1,https://github.com/astooke/rlpyt/blob/master/LICENSE is provided.,1,There are files related to testing,174.0,3.0,142.0,114.0,426.0,571.0,571.0,8.0,67.0,1522.0,0.053869969040247684,0.002232142857142857,0.01640859718049457,0.013208202989224888,0.013587216534302938,0.02778453603230986,0.02778453603230986,0.004223864836325237,0.07306434023991276,0.03420993481681277
athena-team/athena,Y,142,296,11211,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/athena-team/athena/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/athena-team/athena/issues/164 and https://github.com/athena-team/athena/issues/141",1,https://github.com/athena-team/athena/blob/master/LICENSE is provided.,1,There are many files related to testing,50.0,42.0,110.0,96.0,1306.0,550.0,550.0,4.0,24.0,1149.0,0.015479876160990714,0.03125,0.012710885139819737,0.011122697254084116,0.04165470608873154,0.026762687947058536,0.026762687947058536,0.0021119324181626186,0.02617230098146129,0.025826028320971004
autorope/donkeycar,Y,1825,1893,12355,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/autorope/donkeycar/graphs/contributors shows that there are multiple contributors,1,The project uses Travis CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/autorope/donkeycar/issues/600 and https://github.com/autorope/donkeycar/issues/566",1,https://github.com/autorope/donkeycar/blob/dev/LICENSE is provided.,1,There are many files related to testing,23.0,2.0,123.0,65.0,750.0,637.0,637.0,9.0,23.0,443.0,0.0071207430340557275,0.001488095238095238,0.014213080656343888,0.007530992932452787,0.02392115587025165,0.030996058585956887,0.030996058585956887,0.004751847940865892,0.025081788440567066,0.00995729377388177
