GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer
unity-technologies/ml-agents,Y,8902,2340,19078,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/Unity-Technologies/ml-agents/graphs/contributors shows that there are multiple contributors,1,The project uses Circle CI,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/Unity-Technologies/ml-agents/issues/4141 and https://github.com/Unity-Technologies/ml-agents/issues/4112",1,https://github.com/Unity-Technologies/ml-agents/blob/master/LICENSE is provided.,1,There are files related to testing,16.0,42.0,23.0,23.0,234.0,181.0,181.0,4.0,17.0,329.0,0.004953560371517028,0.03125,0.002657730529235036,0.002664812883790986,0.007463400631518515,0.00880735730621381,0.00880735730621381,0.0021119324181626186,0.018538713195201745,0.007394920206788042
urduhack/urduhack,Y,158,112,5675,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,"2 has significantly more commits than others, but 6 contributers",1,Travis used,1,Documentation provided,0,"Recent, Commit activity not negligible",1,all closed,1,License provided,1,X 2,1.0,0.0,5.0,4.0,9.0,68.0,68.0,0.0,0.0,39.0,0.00030959752321981426,0.0,0.0005777675063554426,0.0004634457189201715,0.0002870538704430198,0.0033088414189090553,0.0033088414189090553,0.0,0.0,0.0008766014834794335
vaexio/vaex,Y,4393,2709,52535,Organised but not in modules,1,"1 has significantly more commits than others, but 23 contributers",1,Travis used,1,Documentation provided,0,Commit activity not negligible,1,154 open < 291 closed,1,License provided,1,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.08482142857142856,0.007164317078807488,0.005908932916232186,0.042739131821516285,0.03119069631648095,0.03119069631648095,0.02375923970432946,0.03816793893129771,0.010227017307260057
vainf/pytorch-msssim,N,142,114,687,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/VainF/pytorch-msssim/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/VainF/pytorch-msssim/issues/17 and https://github.com/VainF/pytorch-msssim/issues/16",1,https://github.com/VainF/pytorch-msssim/blob/master/LICENSE is provided.,1,There are many files related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanvalenlab/deepcell-tf,Y,111,245,21660,Organised but not in modules,1,"1 has significantly more commits than others, but 12 contributers",1,Travis used,1,Documentation provided,0,"Recent, Commit activity not negligible",1,29 open << 120 closed,1,License provided,0,X Doesn't seem to have unit test,60.0,38.0,89.0,88.0,803.0,449.0,449.0,17.0,112.0,1943.0,0.018575851393188854,0.02827380952380952,0.010284261613126879,0.010195805816243773,0.0256115842184161,0.02184808525132597,0.02184808525132597,0.00897571277719113,0.12213740458015268,0.043672735446167676
veaba/ncov,N,238,130,407,Organised but not in modules and few files,1,"1 main contributer, the other has 1 commit",0,X CI is not used on the project.,-1,in chinese,0,Commit activity not negligible,1,17 open > 7 closed,1,License provided,0,X Doesn't seem to have unit test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vertaai/modeldb,Y,952,1552,77803,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/VertaAI/modeldb/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/VertaAI/modeldb/issues/564 and https://github.com/VertaAI/modeldb/issues/259 but a lot issues left open",1,https://github.com/VertaAI/modeldb/blob/master/DEPLOY.md is provided.,1,There are many files related to testing,484.0,93.0,967.0,795.0,6652.0,4057.0,4057.0,27.0,19.0,7019.0,0.1498452012383901,0.06919642857142856,0.1117402357291426,0.09210983663538408,0.21216470513188532,0.19741131818402996,0.19741131818402996,0.014255543822597676,0.020719738276990186,0.15776579006518318
vespa-engine/sample-apps,Y,102,1288,3673,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,around 14 have significant contributions,1,Travis used,1,Documentation provided,0,"Recent, Commit activity not negligible",0,no issues,1,License provided,0,X Doesn't seem to have unit test,57.0,5.0,14.0,12.0,242.0,285.0,285.0,3.0,36.0,580.0,0.01764705882352941,0.003720238095238095,0.0016177490177952392,0.0013903371567605145,0.007718559627467866,0.013867938299839424,0.013867938299839424,0.001583949313621964,0.03925845147219193,0.013036637446617216
videoflow/videoflow,Y,879,504,2693,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,"1 has significantly more commits than others, 3 contributers",1,Travis used,1,Documentation provided,1,Commits are quite spread out,1,15 open < 34 closed,1,License provided,1,A number,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.10464396284829722,0.008184523809523808,0.028657268315229953,0.027690881705480248,0.05584792523841419,0.05474186170989246,0.05474186170989246,0.006335797254487856,0.03271537622682661,0.04677455608001798
vita-epfl/monoloco,Y,183,141,2971,Organised but not in modules,1,"2 has significantly more commits than others, but 11 contributers",1,Travis used,1,Documentation provided,1,Commits are quite spread out,1,1 open << 11 closed,1,License provided,1,A number,123.0,5.0,21.0,14.0,158.0,206.0,206.0,1.0,20.0,1108.0,0.03808049535603716,0.003720238095238095,0.0024266235266928587,0.0016220600162206002,0.005039390169999681,0.010023843121989198,0.010023843121989198,0.0005279831045406547,0.021810250817884406,0.024904472915261856
vita-epfl/openpifpaf,Y,508,808,9325,Organised but not in modules,1,"1 has significantly more commits than others, 3 contributers",1,Travis used,1,Documentation provided,0,Commit activity not negligible,1,7 open << 113 closed,1,License provided,1,A number,70.0,2.0,56.0,46.0,342.0,225.0,225.0,0.0,14.0,531.0,0.021671826625386997,0.001488095238095238,0.006470996071180957,0.005329625767581972,0.010908047076834753,0.010948372341978492,0.010948372341978492,0.0,0.015267175572519085,0.01193526635198921
vwxyzjn/cleanrl,N,156,365,19456,The source code of the project exists as ad-hoc scripts,1,"1 has significantly more commits than others, 2 contributers",0,X CI is not used on the project.,1,Documentation provided,,"Recent, Commit activity not negligible",1,3 open < 7 closed,1,License provided,1,A number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wandb/client,Y,2063,2815,142242,The source code of this project has been organised into different modules,1,about 11 active contributors,1,CircleCI used,1,Documentation provided,0,"Recent, Commit activity not negligible",1,207 open < 354 closed,1,License provided,1,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,289.0,242.0,843.0,826.0,3150.0,3767.0,3767.0,174.0,117.0,3058.0,0.08947368421052632,0.1800595238095238,0.09741160157152762,0.09570154095701541,0.10046885465505694,0.18330008272103546,0.18330008272103546,0.09186906019007392,0.12758996728462377,0.06873454708923353
