Dependent,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Stars,Lines of Code,Commits
ComplexContainerComprehension,-0.144254111050304,-0.16194334692395,-0.0346066384654146,0.00773283203294568,0.116683261720268,0.179065812994432,-0.0923554879929376,-0.2281154499355**,0.0496267355051339,0.0976726655736714
ComplexLambdaExpression,-0.127043603905808,-0.148823365912136,-0.0715566410327959,-0.0124361123677655,0.0968529627042991,0.164558640511111,-0.0570108045712964,-0.213015679747403**,0.0394127502159529,0.0839732384541617
LargeClass,-0.144254111050304,-0.16194334692395,-0.0346066384654146,0.0103104427105942,0.116683261720268,0.179065812994432,-0.0867581856903354,-0.231794731386073**,0.0459506810232721,0.0939869046086272
LongBaseClassList,-0.147688732741977,-0.16194334692395,-0.032134735717885,0.00773283203294568,0.124211214089318,0.179065812994432,-0.0867581856903354,-0.231794731386073**,0.0459506810232721,0.0939869046086272
LongMessageChain,-0.144254111050304,-0.16194334692395,-0.0346066384654146,0.0103104427105942,0.116683261720268,0.179065812994432,-0.0867581856903354,-0.231794731386073**,0.0459506810232721,0.0939869046086272
LongMethod,-0.144254111050304,-0.16194334692395,-0.0346066384654146,0.0103104427105942,0.116683261720268,0.179065812994432,-0.0867581856903354,-0.231794731386073**,0.0459506810232721,0.0939869046086272
LongParameterList,-0.144254111050304,-0.16194334692395,-0.0346066384654146,0.0103104427105942,0.116683261720268,0.179065812994432,-0.0867581856903354,-0.231794731386073**,0.0459506810232721,0.0939869046086272
LongScopeChaining,-0.127043603905808,-0.148823365912136,-0.0715566410327959,-0.00967253184159543,0.0968529627042991,0.164558640511111,-0.0540102359096492,-0.214988047152472**,0.0374421127051553,0.0819973975493579
LongTernaryConditionalExpression,-0.154557976125325,-0.16194334692395,-0.0469661522030626,-0.00515522135529712,0.116683261720268,0.179065812994432,-0.0839595345390342,-0.233634372111359**,0.047788708264203,0.0847725021960167
MultiplyNestedContainer,-0.144254111050304,-0.16194334692395,-0.0346066384654146,0.00773283203294568,0.116683261720268,0.179065812994432,-0.0895568368416365,-0.229955090660787**,0.047788708264203,0.0958297850911493
