GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted,Contributors
kubeflow/fairing,Y,233,219,10509,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/kubeflow/fairing/graphs/contributors shows that there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/kubeflow/fairing/blob/master/kubeflow/fairing/backends/backends.py and https://github.com/kubeflow/fairing/blob/master/kubeflow/fairing/http_utils.py have appropriate docstrings",1.0,https://github.com/kubeflow/fairing/graphs/commit-activity shows there has been activities in the past few months consistently,1,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow/fairing/issues/521 and https://github.com/kubeflow/fairing/issues/519",1,https://github.com/kubeflow/fairing/blob/master/LICENSE,1,There are many files related to testing,50.0,25.0,133.0,125.0,777.0,923.0,923.0,14.0,15.0,479.0,0.0154798761609907,0.0186011904761904,0.0153686156690547,0.0144826787162553,0.0247823174815807,0.0449126563184273,0.0449126563184273,0.0073917634635691,0.0163576881134133,0.0107664643740166,21,1.0
kubeflow-kale/kale,Y,152,424,7341,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/kubeflow-kale/kale/graphs/contributors shows that there are multiple contributors but mainly 2,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/kubeflow-kale/kale/blob/master/backend/kale/utils/jupyter_utils.py and https://github.com/kubeflow-kale/kale/blob/master/backend/kale/utils/graph_utils.py have appropriate docstrings",1.0,"Checking https://github.com/kubeflow-kale/kale/graphs/commit-activity, there has been activities in the past few months consistently",1,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow-kale/kale/issues/147 and https://github.com/kubeflow-kale/kale/issues/142",1,https://github.com/kubeflow-kale/kale/blob/master/LICENSE,1,There are many files related to testing,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.1046439628482972,0.0081845238095238,0.0286572683152299,0.0276908817054802,0.0558479252384141,0.0547418617098924,0.0547418617098924,0.0063357972544878,0.0327153762268266,0.0467745560800179,21,0.26666666666666666
kundajelab/deeplift,Y,431,522,5460,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/kundajelab/deeplift/graphs/contributors shows that there are multiple contributors but mainly 1,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well-maintained README but Most of the functions in the source code are not documented.,1.0,https://github.com/kundajelab/deeplift/graphs/commit-activity shows there has been only 1 commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/kundajelab/deeplift/issues/106 and https://github.com/kundajelab/deeplift/issues/103",1,https://github.com/kundajelab/deeplift/blob/master/LICENSE,1,There are many files related to testing,60.0,5.0,51.0,51.0,526.0,359.0,359.0,6.0,21.0,451.0,0.0185758513931888,0.003720238095238,0.0058932285648255,0.0059089329162321,0.0167767039836698,0.0174687363145345,0.0174687363145345,0.0031678986272439,0.0229007633587786,0.0101371094628006,21,0.3333333333333333
kwotsin/mimicry,Y,292,106,8324,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/kwotsin/mimicry/blob/master/torch_mimicry/modules/layers.py and https://github.com/kwotsin/mimicry/blob/master/torch_mimicry/modules/losses.py have appropriate docstrings",1.0,https://github.com/kundajelab/deeplift/graphs/commit-activity shows there has been only 1 commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/kwotsin/mimicry/issues/19 and https://github.com/kwotsin/mimicry/issues/14",1,https://github.com/kwotsin/mimicry/blob/master/LICENSE,1,There are many files related to testing,17.0,5.0,156.0,102.0,756.0,580.0,580.0,3.0,17.0,238.0,0.0052631578947368,0.003720238095238,0.0180263461982898,0.0118178658324643,0.0241125251172136,0.028222470925989,0.028222470925989,0.0015839493136219,0.0185387131952017,0.005349516745336,21,0.03333333333333333
l3p-cv/lost,Y,317,1280,9244,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/l3p-cv/lost/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project,1,"There is a well-maintained README, and the majority of the functions in https://github.com/l3p-cv/lost/blob/master/backend/lost/pyapi/script.py and https://github.com/l3p-cv/lost/blob/master/backend/lost/logic/label.py have appropriate docstrings",1.0,https://github.com/l3p-cv/lost/graphs/commit-activity shows there has been activities in the past few months consistently,1,"The project maintainers respond to issues, as evidenced by https://github.com/l3p-cv/lost/issues/74 and https://github.com/l3p-cv/lost/issues/58",1,https://github.com/l3p-cv/lost/blob/master/LICENSE,1,There are many files related to testing,19.0,8.0,94.0,79.0,1004.0,558.0,558.0,2.0,2.0,706.0,0.0058823529411764,0.0059523809523809,0.0108620291194823,0.0091530529486733,0.0320224539916435,0.0271519634081066,0.0271519634081066,0.0010559662090813,0.0021810250817884,0.0158687345470892,21,0.3333333333333333
lab-ml/labml,Y,231,584,8192,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/lab-ml/labml/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project,1,"There is a well-maintained README, but only some of the functions in scripts like https://github.com/lab-ml/labml/blob/master/labml/experiment.py and https://github.com/lab-ml/labml/blob/master/labml/logger.py have appropriate docstrings",1.0,https://github.com/lab-ml/labml/graphs/commit-activity shows there has been activities in the past few months consistently,1,"The project maintainers respond to issues, as evidenced by https://github.com/lab-ml/labml/issues/38 and https://github.com/lab-ml/labml/issues/28",1,https://github.com/lab-ml/labml/blob/master/license,1,There are many files related to testing,0.0,0.0,15.0,7.0,23.0,49.0,49.0,0.0,0.0,18.0,0.0,0.0,0.0017333025190663,0.0008110300081103,0.0007335821133543,0.0023843121989197,0.0023843121989197,0.0,0.0,0.0004045853000674,21,0.26666666666666666
learnables/cherry,Y,104,409,8896,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/learnables/cherry/graphs/contributors shows that there are multiple contributors but mainly 1,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/learnables/cherry/blob/master/cherry/models/robotics.py and https://github.com/learnables/cherry/blob/master/cherry/models/tabular.py and https://github.com/learnables/cherry/blob/master/cherry/models/utils.py have appropriate docstrings",1.0,https://github.com/learnables/cherry/graphs/commit-activity shows there has been only 1 commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/learnables/cherry/issues/33 and https://github.com/learnables/cherry/issues/22",1,https://github.com/learnables/cherry/blob/master/LICENSE,1,There are many files related to testing,32.0,32.0,108.0,104.0,471.0,445.0,445.0,11.0,18.0,494.0,0.009907120743034,0.0238095238095238,0.0124797781372775,0.0120495886919244,0.015022485886518,0.0216534475208019,0.0216534475208019,0.0058078141499472,0.0196292257360959,0.0111036187907394,21,0.3
learnables/learn2learn,Y,811,262,11108,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/learnables/learn2learn/graphs/contributors shows that there are multiple contributors but mainly 2,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions inhttps://github.com/learnables/learn2learn/blob/master/learn2learn/optim/learnable_optimizer.py and https://github.com/learnables/learn2learn/blob/master/learn2learn/optim/parameter_update.py and https://github.com/learnables/learn2learn/blob/master/learn2learn/utils.py have appropriate docstrings",1.0,https://github.com/learnables/cherry/graphs/commit-activity shows there has been only 1 commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/learnables/learn2learn/issues/157 and https://github.com/learnables/learn2learn/issues/154",1,https://github.com/learnables/learn2learn/blob/master/LICENSE,1,There are many files related to testing,58.0,13.0,117.0,115.0,916.0,517.0,517.0,6.0,12.0,477.0,0.0179566563467492,0.009672619047619,0.0135197596487173,0.0133240644189549,0.0292157050362006,0.025156926670235,0.025156926670235,0.0031678986272439,0.0130861504907306,0.0107215104517869,21,1.0
leela-zero/leela-zero,Y,4055,838,4787,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/leela-zero/leela-zero/graphs/contributors shows that there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well-maintained README but most of the functions in the source code are not documented.,1.0,https://github.com/leela-zero/leela-zero/graphs/commit-activity shows there has been only 1 commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/leela-zero/leela-zero/issues/2605 and https://github.com/leela-zero/leela-zero/issues/2599",1,The license is provided as part of the source code,1,There are many files related to testing,42.0,1.0,28.0,17.0,166.0,271.0,271.0,1.0,4.0,543.0,0.0130030959752322,0.0007440476190476,0.0032354980355904,0.0019696443054107,0.005294549165949,0.0131867062430052,0.0131867062430052,0.0005279831045406,0.0043620501635768,0.0122049898853674,21,1.0
limbo018/dreamplace,Y,141,438,10924,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/limbo018/DREAMPlace/graphs/contributors shows that there are multiple contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well-maintained README, and the majority of the functions in https://github.com/limbo018/DREAMPlace/blob/master/dreamplace/BasicPlace.py and https://github.com/limbo018/DREAMPlace/blob/master/dreamplace/Params.py and https://github.com/limbo018/DREAMPlace/blob/master/dreamplace/EvalMetrics.py have appropriate docstrings",1.0,https://github.com/limbo018/DREAMPlace/graphs/commit-activity shows there has been activities in the past few months consistently,1,"The project maintainers respond to issues, as evidenced by https://github.com/limbo018/DREAMPlace/issues/24 and https://github.com/limbo018/DREAMPlace/issues/23",1,https://github.com/limbo018/DREAMPlace/blob/master/LICENSE,1,There are many files related to testing,22.0,3.0,141.0,139.0,1235.0,465.0,465.0,21.0,18.0,995.0,0.0068111455108359,0.0022321428571428,0.0162930436792234,0.0161047387324759,0.039390169999681,0.0226266361734222,0.0226266361734222,0.0110876451953537,0.0196292257360959,0.0223645763092829,21,0.7
