GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted
firmai/datagene,N,130,140,9221,The source code of the project exists as ad-hoc scripts,1,https://github.com/firmai/datagene/graphs/contributors shows that there are 2 contributors.,0,CI is not used on the project.,1,There is a well maintained README but Most of the functions in the source code are not documented.,1.0,Checking https://github.com/firmai/datagene/pulse/monthly there has been 2 commit activity in the past month.,0,There aren't any open issues,0,"There is no license to be found, either in the form of a license file or written as comments in the source code files",0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
funcwj/setk,N,154,235,6824,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,1,There is a well maintained README and documentations at https://github.com/funcwj/setk/tree/master/doc,1.0,Checking https://github.com/funcwj/setk/pulse/monthly there has been significant commit activity in the past month.,0,There aren't any open issues,1,https://github.com/funcwj/setk/blob/master/LICENSE is provided,1,There are many files related to testing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
googlecloudplatform/tensorflow-without-a-phd,N,2161,436,9902,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/GoogleCloudPlatform/tensorflow-without-a-phd/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,0.0,No evidence of sustained commit activity,1,Do answer questions but not often,1,https://github.com/GoogleCloudPlatform/tensorflow-without-a-phd/blob/master/LICENSE is provided.,0,Can't find test files,338.0,11.0,248.0,239.0,1751.0,1125.0,1125.0,12.0,30.0,2081.0,0.1046439628482972,0.0081845238095238,0.0286572683152299,0.0276908817054802,0.0558479252384141,0.0547418617098924,0.0547418617098924,0.0063357972544878,0.0327153762268266,0.0467745560800179,21
ha0tang/selectiongan,N,293,359,7773,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,1,Functions mentioned but not well documented,0.0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/Ha0Tang/SelectionGAN/issues/7 and https://github.com/Ha0Tang/SelectionGAN/issues/6",1,https://github.com/Ha0Tang/SelectionGAN/blob/master/selectiongan_v1/LICENSE.md and https://github.com/Ha0Tang/SelectionGAN/blob/master/selectiongan_v2/LICENSE.md are provided.,1,There are files related to testing but its everywhere,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.0848214285714285,0.0071643170788074,0.0059089329162321,0.0427391318215162,0.0311906963164809,0.0311906963164809,0.0237592397043294,0.0381679389312977,0.01022701730726,21
hastagab/awesome-python-scripts,N,185,220,5579,The source code of the project exists as ad-hoc scripts,1,https://github.com/hastagAB/Awesome-Python-Scripts/graphs/contributors that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well-maintained README,1.0,Checking https://github.com/hastagAB/Awesome-Python-Scripts/pulse/monthly there has been 2 commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/hastagAB/Awesome-Python-Scripts/issues/53",1,https://github.com/hastagAB/Awesome-Python-Scripts/blob/master/LICENSE.txt is provided,0,There is no evidence of any testing done on the project.,63.0,8.0,30.0,6.0,101.0,347.0,347.0,5.0,11.0,888.0,0.0195046439628483,0.0059523809523809,0.0034666050381326,0.0006951685783802,0.0032213823238605,0.0168848231229623,0.0168848231229623,0.0026399155227032,0.0119956379498364,0.0199595414699932,18
hrpan/tetris_mcts,N,292,398,5273,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,1,There is a well-maintained README,0.0,There is no commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/hrpan/tetris_mcts/issues/3",0,"There is no license to be found, either in the form of a license file or written as comments in the source code files",0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
hunkim/deeplearningzerotoall,N,3929,332,6870,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,Multiple contributors: https://github.com/hunkim/DeepLearningZeroToAll/graphs/contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc. https://github.com/hunkim/DeepLearningZeroToAll/blob/master/CONTRIBUTING.md",1,"There is a well maintained README, codes are well documented",1.0,Few commits in the last month: https://github.com/hunkim/DeepLearningZeroToAll/graphs/commit-activity,0,There aren't any open issues,0,There is no license,1,Only 1 test file,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
jaakkopasanen/autoeq,N,1688,419,5281,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,Multiple contributors: https://github.com/jaakkopasanen/AutoEq/graphs/contributors,0,No indications of using CI services,1,"There is a README, codes are not documented",0.0,"No commits the past month, active before that",1,"More closed than open, author does not respond frequently",1,https://github.com/jaakkopasanen/AutoEq/blob/master/LICENSE,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
jayyip/bert-multitask-learning,N,290,280,8627,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,1,"The project author respond to issues, as evidenced by https://github.com/JayYip/bert-multitask-learning/issues/44 and https://github.com/JayYip/bert-multitask-learning/issues/43",1,https://github.com/JayYip/bert-multitask-learning/blob/master/LICENSE is provided.,1,There are files related to testing but everywhere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
jessevig/bertviz,N,1807,195,7189,The source code of the project exists as ad-hoc scripts,1,Multiple contributors: hhttps://github.com/jessevig/bertviz/graphs/contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a README, codes are not documented",0.0,No commits in the past month,1,"More closed than open, author does not respond frequently",1,https://github.com/jessevig/bertviz/blob/master/LICENSE,1,Only 1 test file,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
