GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted
explosion/prodigy-recipes,Y,171,103,2472,The source code of the project exists as ad-hoc scripts,1,https://github.com/explosion/prodigy-recipes/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well maintained README and majority of the function in https://github.com/explosion/prodigy-recipes/blob/master/terms/terms_teach.py,1.0,Checking https://github.com/explosion/prodigy-recipes/pulse/monthly there has been 1 commit activity in the past month.,0,There aren't any open issues,1,https://github.com/explosion/prodigy-recipes/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.0848214285714285,0.0071643170788074,0.0059089329162321,0.0427391318215162,0.0311906963164809,0.0311906963164809,0.0237592397043294,0.0381679389312977,0.01022701730726,18
explosion/spacy-transformers,Y,744,811,1222,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/explosion/spacy-transformers/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and majority of the function in https://github.com/explosion/spacy-transformers/blob/master/spacy_transformers/align.py,1.0,Checking https://github.com/explosion/spacy-transformers/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/explosion/spacy-transformers/issues/203",1,https://github.com/explosion/spacy-transformers/blob/master/LICENSE is provided,1,There are many files related to testing.,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.0848214285714285,0.0071643170788074,0.0059089329162321,0.0427391318215162,0.0311906963164809,0.0311906963164809,0.0237592397043294,0.0381679389312977,0.01022701730726,21
facebookresearch/classyvision,Y,818,218,19341,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/facebookresearch/ClassyVision/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://classyvision.ai/api/,1.0,Checking https://github.com/facebookresearch/ClassyVision/pulse/monthly there has been minor commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/ClassyVision/issues/397",1,https://github.com/facebookresearch/ClassyVision/blob/master/LICENSE is provided,1,There are many files related to testing.,50.0,3.0,91.0,86.0,84.0,371.0,371.0,6.0,8.0,659.0,0.0154798761609907,0.0022321428571428,0.010515368615669,0.0099640829567836,0.0026791694574681,0.0180526495061067,0.0180526495061067,0.0031678986272439,0.0087241003271537,0.0148123173746909,21
facebookresearch/crypten,Y,555,158,20555,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/facebookresearch/CrypTen/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://github.com/facebookresearch/CrypTen/tree/master/docs,1.0,Checking https://github.com/facebookresearch/CrypTen/pulse/monthly there has been significant commit activity in the past month.,0,The author of the project does not reply to issues or close them.,1,https://github.com/facebookresearch/CrypTen/blob/master/LICENSE is provided,1,There are many files related to testing.,49.0,4.0,113.0,106.0,137.0,451.0,451.0,17.0,23.0,275.0,0.0151702786377709,0.0029761904761904,0.013057545643633,0.0122813115513845,0.0043695978056326,0.021945404116588,0.021945404116588,0.0089757127771911,0.025081788440567,0.0061811643065857,21
facebookresearch/egg,Y,127,132,7416,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/facebookresearch/EGG/graphs/contributors shows that there are multiple contributors.,0,CI is not used on the project.,1,There is a well maintained README and documentation at https://github.com/facebookresearch/EGG/tree/master/docs,1.0,Checking https://github.com/facebookresearch/EGG/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/EGG/issues/63",1,https://github.com/facebookresearch/EGG/blob/master/LICENSE is provided,1,There are few files related to testing.,23.0,6.0,101.0,82.0,174.0,324.0,324.0,1.0,12.0,230.0,0.0071207430340557,0.0044642857142857,0.0116709036283799,0.0095006372378635,0.0055497081618983,0.015765656172449,0.015765656172449,0.0005279831045406,0.0130861504907306,0.0051697010564171,21
facebookresearch/habitat-api,Y,436,193,20933,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/facebookresearch/habitat-api/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://github.com/facebookresearch/habitat-api/tree/master/docs,1.0,Checking https://github.com/facebookresearch/habitat-api/pulse/monthly there has been 8 commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/habitat-api/issues/422",1,https://github.com/facebookresearch/habitat-api/blob/master/LICENSE is provided,1,There are many files related to testing.,4.0,2.0,14.0,11.0,90.0,80.0,80.0,0.0,4.0,58.0,0.0012383900928792,0.0014880952380952,0.0016177490177952,0.0012744757270304,0.0028705387044301,0.0038927546104812,0.0038927546104812,0.0,0.0043620501635768,0.0013036637446617,21
facebookresearch/mmf,Y,3606,577,23492,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/facebookresearch/habitat-api/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://github.com/facebookresearch/mmf/tree/master/docs,1.0,Checking https://github.com/facebookresearch/mmf/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/mmf/issues/364",1,https://github.com/facebookresearch/mmf/blob/master/LICENSE is provided,1,There are many files related to testing.,52.0,4.0,203.0,189.0,795.0,801.0,801.0,24.0,7.0,1216.0,0.0160990712074303,0.0029761904761904,0.0234573607580309,0.0218978102189781,0.0253564252224667,0.0389762055374434,0.0389762055374434,0.0126715945089757,0.0076335877862595,0.0273319847156664,21
facebookresearch/nevergrad,Y,2577,593,17760,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/facebookresearch/nevergrad/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://github.com/facebookresearch/nevergrad/tree/master/docs,1.0,Checking https://github.com/facebookresearch/nevergrad/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/nevergrad/issues/746",1,https://github.com/facebookresearch/nevergrad/blob/master/LICENSE is provided,1,There are many files related to testing.,0.0,0.0,24.0,22.0,15.0,23.0,23.0,0.0,3.0,9.0,0.0,0.0,0.0027732840305061,0.0025489514540609,0.000478423117405,0.0011191669505133,0.0011191669505133,0.0,0.0032715376226826,0.0002022926500337,21
facebookresearch/parlai,Y,6296,3265,77405,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/facebookresearch/ParlAI/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://github.com/facebookresearch/ParlAI/tree/master/docs,1.0,Checking https://github.com/facebookresearch/ParlAI/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/ParlAI/issues/2814",1,https://github.com/facebookresearch/ParlAI/blob/master/LICENSE is provided,1,There are many files related to testing.,285.0,20.0,802.0,782.0,4552.0,3709.0,3709.0,44.0,101.0,5130.0,0.088235294117647,0.0148809523809523,0.0926739080194129,0.0906036380488935,0.1451854686951806,0.1804778356284365,0.1804778356284365,0.0232312565997888,0.1101417666303162,0.1153068105192177,21
facebookresearch/pyrobot,Y,1674,405,12870,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/facebookresearch/pyrobot/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://github.com/facebookresearch/pyrobot/tree/master/docs,1.0,Checking https://github.com/facebookresearch/pyrobot/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/pyrobot/issues/56",1,https://github.com/facebookresearch/pyrobot/blob/master/LICENSE is provided,1,There are many files related to testing.,576.0,152.0,459.0,404.0,3415.0,4253.0,4253.0,504.0,384.0,5810.0,0.178328173374613,0.113095238095238,0.0530390570834296,0.0468080176109373,0.1089209963958791,0.206948566979709,0.206948566979709,0.2661034846884899,0.4187568157033806,0.1305911440773207,21
facebookresearch/pytext,Y,5895,1088,45722,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/facebookresearch/pytext/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://github.com/facebookresearch/pytext/tree/master/pytext/docs,1.0,Checking https://github.com/facebookresearch/pytext/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/pytext/issues/1232",1,https://github.com/facebookresearch/pytext/blob/master/LICENSE is provided,1,There are many files related to testing.,115.0,15.0,121.0,110.0,556.0,517.0,517.0,11.0,29.0,615.0,0.0356037151702786,0.0111607142857142,0.0139819736538017,0.0127447572703047,0.0177335502184798,0.025156926670235,0.025156926670235,0.0058078141499472,0.0316248636859323,0.0138233310856372,21
facebookresearch/reagent,Y,2542,855,35109,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/facebookresearch/ReAgent/graphs/contributors shows that there are multiple contributors.,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,There is a well maintained README and documentation at https://github.com/facebookresearch/ReAgent/tree/master/docs,1.0,Checking https://github.com/facebookresearch/ReAgent/pulse/monthly there has been significant commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/facebookresearch/ReAgent/issues/265",1,https://github.com/facebookresearch/ReAgent/blob/master/LICENSE is provided,1,There are many files related to testing.,17.0,3.0,57.0,41.0,207.0,180.0,180.0,2.0,6.0,329.0,0.0052631578947368,0.0022321428571428,0.006586549572452,0.0047503186189317,0.0066022390201894,0.0087586978735827,0.0087586978735827,0.0010559662090813,0.0065430752453653,0.007394920206788,21
