GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted
zqpei/deep_sort_pytorch,N,937,127,3379,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/ZQPei/deep_sort_pytorch/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,0,Do reply to issues last time but not recently,1,https://github.com/ZQPei/deep_sort_pytorch/blob/master/LICENSE is provided.,1,Only 1 test file,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
fritzlabs/fritz-models,N,400,198,3479,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/fritzlabs/fritz-models/graphs/contributors that there are multiple contributors.,0,CI is not used on the project.,1,There is a well maintained README and documentations at https://github.com/fritzlabs/fritz-models/blob/master/style_transfer/README.md and https://github.com/fritzlabs/fritz-models/blob/master/object_detection/README.md,0.0,There is no commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/fritzlabs/fritz-models/issues/67",1,https://github.com/fritzlabs/fritz-models/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,382.0,62.0,436.0,410.0,1883.0,2450.0,2450.0,27.0,289.0,8645.0,0.118266253869969,0.0461309523809523,0.0503813265541946,0.0475031861893175,0.0600580486715784,0.119215609945988,0.119215609945988,0.0142555438225976,0.3151581243184296,0.194313328837941,21
pytorch/examples,N,13265,459,3609,Its a collection of projects/examples,1,Multiple contributors: https://github.com/pytorch/examples/graphs/contributors,1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",1,"There is a well maintained README, codes are well documented",1.0,Consistent commits in the last month,1,"More closed than open, author does not respond frequently",1,https://github.com/pytorch/examples/blob/master/LICENSE,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
kdexd/virtex,N,187,165,3753,The source code of this project has been organised into different modules in a way that shows the relationship between different files,0,Only one contributor: https://github.com/kdexd/virtex/graphs/contributors,0,No indications of using CI services,1,"There is a README, codes are well documented",1.0,Consistent commits in the last month,1,"More closed than open, author responds frequently: https://github.com/kdexd/virtex/issues/4",1,https://github.com/kdexd/virtex/blob/master/LICENSE,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
rexying/gnn-model-explainer,N,255,172,3968,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/RexYing/gnn-model-explainer/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,0.0,No evidence of sustained commit activity,1,Do reply to issues but very little of the time,1,https://github.com/RexYing/gnn-model-explainer/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
emadboctorx/yolov3-keras-tf2,N,556,111,4013,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,1,There is a well maintained README and documentation at https://github.com/emadboctorx/yolov3-keras-tf2/tree/master/Docs,0.0,There is no commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/emadboctorx/yolov3-keras-tf2/issues/3",1,https://github.com/emadboctorx/yolov3-keras-tf2/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,1.0,0.0,12.0,11.0,5.0,25.0,25.0,0.0,1.0,54.0,0.0003095975232198,0.0,0.001386642015253,0.0012744757270304,0.0001594743724683,0.0012164858157753,0.0012164858157753,0.0,0.0010905125408942,0.0012137559002022,18
dagnyt/hardnet,N,303,100,4265,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/DagnyT/hardnet/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,Some of the functions are documented,0.0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, but mainly not resolved as there's no response from users",1,https://github.com/DagnyT/hardnet/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
gjy3035/c-3-framework,N,405,131,4303,The source code of the project exists as ad-hoc scripts,1,https://github.com/gjy3035/C-3-Framework/graphs/contributors that there are multiple contributors.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,There is no commit in the past month,1,"The project maintainers respond to issues, as evidenced by https://github.com/gjy3035/C-3-Framework/issues/81",1,https://github.com/gjy3035/C-3-Framework/blob/python3.x/LICENSE is provided,1,There are few files related to testing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
yehengchen/object-detection-and-tracking,N,513,518,4368,organied by names that are not self explanatory,1,"1 main contributer, the other has 1 commit",0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,"Recent, Commit activity not negligible",1,45 open > 17 closed,1,License provided,1,A number,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.0848214285714285,0.0071643170788074,0.0059089329162321,0.0427391318215162,0.0311906963164809,0.0311906963164809,0.0237592397043294,0.0381679389312977,0.01022701730726,23
skalskip/ilearndeeplearning.py,N,783,202,4374,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/SkalskiP/ILearnDeepLearning.py/graphs/contributors that there are multiple contributors but mainly 1,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Little evidence of sustained commit activity,1,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/SkalskiP/ILearnDeepLearning.py/issues/26 and https://github.com/SkalskiP/ILearnDeepLearning.py/issues/3",1,https://github.com/SkalskiP/ILearnDeepLearning.py/blob/master/LICENSE.md is provided.,1,There are many files related to testing but its everywhere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
